Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10059\trunk\production_files\400250_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       19.12.17
Time:       22:12
Revision:   13485
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","10k","TopLayer","RESC0603X03L_C","14.6050","4.7752","360","Resistor, ±1%, 0.05W"
"Fid2","Fiducial mark","TopLayer","Fiducial","7.1628","-2.1590","0","Fiducial Mark"
"C27","100nF","TopLayer","CAPC0603X03L_C","13.5128","4.4577","270","Capacitor, X5R, ±10%"
"C29","N.C.","BottomLayer","CAPC1005X04L","8.2550","5.5626","180","Not mounted"
"C28","N.C.","BottomLayer","CAPC1005X04L","10.7950","5.5626","180","Not mounted"
"P1","Pin Header 2x5, 1.27mm","BottomLayer","HDR_2x5-SMD-1.27mm-NC","23.8760","0.0000","270","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C4","1.0pF","TopLayer","CAPC0603X03L_C","10.9220","-1.3462","90","Capacitor, NP0, ±5%"
"R1","0R","TopLayer","RESC0603X03L_C","6.3754","-4.8768","180","Resistor, ±5%, 0.05W"
"C26","1.5pF","TopLayer","CAPC0603X03L_C","5.5118","-4.5720","270","Capacitor, NP0, ±0.1pF"
"C25","N.C.","TopLayer","CAPC0603X03L_C","7.2390","-4.5720","90","Not mounted"
"C14","1.0µF","TopLayer","CAPC1608X06L","23.3426","-3.1750","270","Capacitor, X7R, ±10%"
"C15","1.0µF","TopLayer","CAPC1608X06L","19.5112","-4.9650","360","Capacitor, X7R, ±10%"
"X2","32.768kHz","TopLayer","XTAL_2012","25.6540","-1.8796","270","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"C3","1.0pF","TopLayer","CAPC0603X03L_C","12.5934","-1.2754","90","Capacitor, NP0, ±5%"
"L1","3.9nH","TopLayer","INDC0603X03L_C","11.7387","-0.7707","180","Inductor, 400mA, ±0.1nH"
"C2","12pF","TopLayer","CAPC0603X03L_C","13.5676","-4.3046","270","Capacitor, NP0, ±2%"
"C7","100nF","TopLayer","CAPC0603X03L_C","17.3990","4.1295","360","Capacitor, X5R, ±10%"
